,ward,precinct,tot_votes,eman_votes,garcia_votes,eman_pct,garcia_pct
264,7,7,225,125,100,0.5555555555555556,0.4444444444444444
265,7,8,286,200,86,0.6993006993006993,0.3006993006993007
266,7,9,506,262,244,0.5177865612648221,0.48221343873517786
267,7,10,298,176,122,0.5906040268456376,0.40939597315436244
268,7,11,264,147,117,0.5568181818181818,0.4431818181818182
269,7,12,260,148,112,0.5692307692307692,0.4307692307692308
270,7,13,219,150,69,0.684931506849315,0.3150684931506849
271,7,14,268,156,112,0.582089552238806,0.417910447761194
272,7,15,302,152,150,0.5033112582781457,0.4966887417218543
273,7,16,226,122,104,0.5398230088495575,0.46017699115044247
274,7,17,213,119,94,0.5586854460093896,0.4413145539906103
